ID,ArtistName,CountryOfOrigin,TitleOfTopWork,ReleaseYear
1,The Weekend,Canada,Starboy,2016
2,Avici,USA,The Nights,2014
3,Elton John,United Kingdom,Your Song,1970
4,Billie Eilish,United States,Bad Guy,2019
5,Diego Rivera,Mexico,Man at the Crossroads,1934
6,Rene Magritte,Belgium,The Son of Man,1964
7,Freddie Mercury,Tanzania,Flash Gordon,1980
8,Michael Jackson,USA,Thriller,1983
9,James Brown,USA,Safe House,2012
10,Elton John,England,Candle In The Wind,1974
11,Bob Marley,Jamaica,I Am Legend,2007
12,Celine Dion,Canada,Titanic,1997
13,Hearts & Colors,Sweden,Lion,2019
14,Bastille,UK,Distorted Light Beam,2022
15,One Direction,USA,What Makes You Beautiful,2020
16,Taylor Swift,United States,Look what you made me do,2017
17,Dua Lipa,United Kingdom,One Kiss,2018
18,The Weeknd,Canada,Die for you,2016
19,Maroon 5,America,Sugar,2014
20,Adele,United Kingdom,Rolling in the deep,2010
21,Lady Gaga,United States,Poker Face,2008
22,Rihanna,United States,Love the way you lie,2010
23,Katy Perry,United States,Roar,2013
